2026-03-12 08:15:43,963 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 08:15:45,136 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:15:54,145 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:15:54,145 | INFO | __main__ | sentinel.py:86 | Descargando datos para NZD/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 08:15:55,317 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:16:04,325 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:16:04,325 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/CAD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 08:16:05,489 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:16:14,497 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:16:14,497 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/CHF de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 08:16:15,739 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:16:24,748 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:16:24,748 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/JPY de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 08:16:26,045 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:16:35,053 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:16:35,053 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/MXN de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 08:16:36,511 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:16:45,519 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:16:45,519 | INFO | __main__ | sentinel.py:86 | Descargando datos para XAU/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 08:16:46,807 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:16:55,808 | INFO | __main__ | sentinel.py:645 | ✅ Ciclo completado. Esperando próxima vela...
2026-03-12 08:16:55,808 | INFO | scheduler.autoScheduler | autoScheduler.py:78 | ⏳ Sincronizando: Próximo escaneo en 13m 7s
2026-03-12 08:28:22,401 | INFO | __main__ | sentinel.py:658 | Bot detenido manualmente.
2026-03-12 08:28:48,427 | INFO | __main__ | sentinel.py:624 | Bot operativo con Excepciones de Festivos y Cierre.
2026-03-12 08:28:48,428 | INFO | __main__ | sentinel.py:638 | 


--------------------- Iniciando Escaneo con Intervalo: 15min  a las 08:28:48 -------------------


2026-03-12 08:28:48,452 | INFO | database.dbManager | dbManager.py:145 | Se cargaron 11 símbolos activos.
2026-03-12 08:28:48,459 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:28:48,459 | INFO | __main__ | sentinel.py:86 | Descargando datos para AUD/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:28:52,634 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:29:01,643 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:29:01,643 | INFO | __main__ | sentinel.py:86 | Descargando datos para EUR/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:29:02,738 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:29:11,747 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:29:11,747 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/CAD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:29:12,921 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:29:21,928 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:29:21,929 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/JPY de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:29:23,227 | INFO | __main__ | sentinel.py:470 |  la volatilidad es BAJA ❄️ se descarta señal
2026-03-12 08:29:32,235 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:29:32,235 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:29:33,326 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:29:38,144 | INFO | __main__ | sentinel.py:658 | Bot detenido manualmente.
2026-03-12 08:29:58,008 | INFO | __main__ | sentinel.py:624 | Bot operativo con Excepciones de Festivos y Cierre.
2026-03-12 08:29:58,008 | INFO | __main__ | sentinel.py:638 | 


--------------------- Iniciando Escaneo con Intervalo: 15min  a las 08:29:58 -------------------


2026-03-12 08:29:58,027 | INFO | database.dbManager | dbManager.py:145 | Se cargaron 11 símbolos activos.
2026-03-12 08:29:58,033 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:29:58,033 | INFO | __main__ | sentinel.py:86 | Descargando datos para AUD/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:29:59,135 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:30:08,144 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:30:08,144 | INFO | __main__ | sentinel.py:86 | Descargando datos para EUR/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:30:09,267 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:30:18,275 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:30:18,275 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/CAD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:30:19,433 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:30:28,441 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:30:28,441 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/JPY de la cuenta JAIME (0) con temporalidad 15min
